,corr_abs,skb_score,lasso_coef_abs,rf_importance
bpm,0.01025792188918217,0.09997423319517164,0.0,0.171766231023793
danceability_%,0.06889624063995402,4.530863991346982,0.0647613655788311,0.16306681734986184
valence_%,0.042508025889745976,1.719693020596035,0.002201021694571329,0.1605720102687419
acousticness_%,0.02808686388920283,0.7500199966912515,0.06723685625150987,0.13513987418926718
energy_%,0.02690323915510595,0.6880930941476656,0.04277907774502122,0.1285150593758732
liveness_%,0.04652055281918208,2.0604128096383407,0.05150757457191704,0.12503808841770542
speechiness_%,0.10158498634343774,9.905756525959571,0.10098960350742074,0.10106954697525654
instrumentalness_%,0.020412194540779555,0.395989793863275,0.030248096913595698,0.014832372399500906
